sim_time, animated_rocket?world_pose/position/z
207.718, 73.0873
207.719, 73.0873
207.72, 73.0873
207.721, 73.0873
207.722, 73.0873
207.723, 73.0873
207.724, 73.0873
207.725, 73.0873
207.726, 73.0873
207.727, 73.0873
207.728, 73.0873
207.729, 73.0873
207.73, 73.0873
207.731, 73.0873
207.732, 73.0873
207.733, 73.0873
207.734, 73.0873
207.735, 73.0873
207.736, 73.0873
207.737, 73.0873
207.738, 73.0873
207.739, 73.0873
207.74, 74.5939
207.741, 74.5939
207.742, 74.5939
207.743, 74.5939
207.744, 74.5939
207.745, 74.5939
207.746, 74.5939
207.747, 74.5939
207.748, 74.5939
207.749, 74.5939
207.75, 74.5939
207.751, 74.5939
207.752, 74.5939
207.753, 74.5939
207.754, 74.5939
207.755, 74.5939
207.756, 74.5939
207.757, 74.5939
207.758, 74.5939
207.759, 74.5939
207.76, 74.5939
207.761, 74.5939
207.762, 74.5939
207.763, 74.5939
207.764, 74.5939
207.765, 74.5939
207.766, 74.5939
207.767, 74.5939
207.768, 74.5939
207.769, 74.5939
207.77, 74.5939
207.771, 74.5939
207.772, 74.5939
207.773, 74.5939
207.774, 76.1966
207.775, 76.1966
207.776, 76.1966
207.777, 76.1966
207.778, 76.1966
207.779, 76.1966
207.78, 76.1966
207.781, 76.1966
207.782, 76.1966
207.783, 76.1966
207.784, 76.1966
207.785, 76.1966
207.786, 76.1966
207.787, 76.1966
207.788, 76.1966
207.789, 76.1966
207.79, 76.1966
207.791, 76.1966
207.792, 76.1966
207.793, 76.1966
207.794, 76.1966
207.795, 76.1966
207.796, 76.1966
207.797, 76.1966
207.798, 76.1966
207.799, 76.1966
207.8, 76.1966
207.801, 76.1966
207.802, 76.1966
207.803, 76.1966
207.804, 76.1966
207.805, 76.1966
207.806, 76.1966
207.807, 76.1966
207.808, 77.6943
207.809, 77.6943
207.81, 77.6943
207.811, 77.6943
207.812, 77.6943
207.813, 77.6943
207.814, 77.6943
207.815, 77.6943
207.816, 77.6943
207.817, 77.6943
207.818, 77.6943
207.819, 77.6943
207.82, 77.6943
207.821, 77.6943
207.822, 77.6943
207.823, 77.6943
207.824, 77.6943
207.825, 77.6943
207.826, 77.6943
207.827, 77.6943
207.828, 77.6943
207.829, 77.6943
207.83, 77.6943
207.831, 77.6943
207.832, 77.6943
207.833, 77.6943
207.834, 77.6943
207.835, 77.6943
207.836, 77.6943
207.837, 77.6943
207.838, 77.6943
207.839, 77.6943
207.84, 77.6943
207.841, 77.6943
207.842, 79.1963
207.843, 79.1963
207.844, 79.1963
207.845, 79.1963
207.846, 79.1963
207.847, 79.1963
207.848, 79.1963
207.849, 79.1963
207.85, 79.1963
207.851, 79.1963
207.852, 79.1963
207.853, 79.1963
207.854, 79.1963
207.855, 79.1963
207.856, 79.1963
207.857, 79.1963
207.858, 79.1963
207.859, 79.1963
207.86, 79.1963
207.861, 79.1963
207.862, 79.1963
207.863, 79.1963
207.864, 79.1963
207.865, 79.1963
207.866, 79.1963
207.867, 79.1963
207.868, 79.1963
207.869, 79.1963
207.87, 79.1963
207.871, 79.1963
207.872, 79.1963
207.873, 79.1963
207.874, 79.1963
207.875, 79.1963
207.876, 80.7279
207.877, 80.7279
207.878, 80.7279
207.879, 80.7279
207.88, 80.7279
207.881, 80.7279
207.882, 80.7279
207.883, 80.7279
207.884, 80.7279
207.885, 80.7279
207.886, 80.7279
207.887, 80.7279
207.888, 80.7279
207.889, 80.7279
207.89, 80.7279
207.891, 80.7279
207.892, 80.7279
207.893, 80.7279
207.894, 80.7279
207.895, 80.7279
207.896, 80.7279
207.897, 80.7279
207.898, 80.7279
207.899, 80.7279
207.9, 80.7279
207.901, 80.7279
207.902, 80.7279
207.903, 80.7279
207.904, 80.7279
207.905, 80.7279
207.906, 80.7279
207.907, 80.7279
207.908, 80.7279
207.909, 80.7279
207.91, 82.16
207.911, 82.16
207.912, 82.16
207.913, 82.16
207.914, 82.16
207.915, 82.16
207.916, 82.16
207.917, 82.16
207.918, 82.16
207.919, 82.16
207.92, 82.16
207.921, 82.16
207.922, 82.16
207.923, 82.16
207.924, 82.16
207.925, 82.16
207.926, 82.16
207.927, 82.16
207.928, 82.16
207.929, 82.16
207.93, 82.16
207.931, 82.16
207.932, 82.16
207.933, 82.16
207.934, 82.16
207.935, 82.16
207.936, 82.16
207.937, 82.16
207.938, 82.16
207.939, 82.16
207.94, 82.16
207.941, 82.16
207.942, 82.16
207.943, 82.16
207.944, 83.5596
207.945, 83.5596
207.946, 83.5596
207.947, 83.5596
207.948, 83.5596
207.949, 83.5596
207.95, 83.5596
207.951, 83.5596
207.952, 83.5596
207.953, 83.5596
207.954, 83.5596
207.955, 83.5596
207.956, 83.5596
207.957, 83.5596
207.958, 83.5596
207.959, 83.5596
207.96, 83.5596
207.961, 83.5596
207.962, 83.5596
207.963, 83.5596
207.964, 83.5596
207.965, 83.5596
207.966, 83.5596
207.967, 83.5596
207.968, 83.5596
207.969, 83.5596
207.97, 83.5596
207.971, 83.5596
207.972, 83.5596
207.973, 83.5596
207.974, 83.5596
207.975, 83.5596
207.976, 83.5596
207.977, 83.5596
207.978, 85.02
207.979, 85.02
207.98, 85.02
207.981, 85.02
207.982, 85.02
207.983, 85.02
207.984, 85.02
207.985, 85.02
207.986, 85.02
207.987, 85.02
207.988, 85.02
207.989, 85.02
207.99, 85.02
207.991, 85.02
207.992, 85.02
207.993, 85.02
207.994, 85.02
207.995, 85.02
207.996, 85.02
207.997, 85.02
207.998, 85.02
207.999, 85.02
208, 85.02
208.001, 85.02
208.002, 85.02
208.003, 85.02
208.004, 85.02
208.005, 85.02
208.006, 85.02
208.007, 85.02
208.008, 85.02
208.009, 85.02
208.01, 85.02
208.011, 85.02
208.012, 86.4077
208.013, 86.4077
208.014, 86.4077
208.015, 86.4077
208.016, 86.4077
208.017, 86.4077
208.018, 86.4077
208.019, 86.4077
208.02, 86.4077
208.021, 86.4077
208.022, 86.4077
208.023, 86.4077
208.024, 86.4077
208.025, 86.4077
208.026, 86.4077
208.027, 86.4077
208.028, 86.4077
208.029, 86.4077
208.03, 86.4077
208.031, 86.4077
208.032, 86.4077
208.033, 86.4077
208.034, 86.4077
208.035, 86.4077
208.036, 86.4077
208.037, 86.4077
208.038, 86.4077
208.039, 86.4077
208.04, 86.4077
208.041, 86.4077
208.042, 86.4077
208.043, 86.4077
208.044, 86.4077
