sim_time, my_bot/altitude_joint?0/velocity
428.968, -0.115253
428.969, -0.115253
428.97, -0.115253
428.971, -0.115253
428.972, -0.115253
428.973, -0.115253
428.974, -0.115253
428.975, -0.115253
428.976, -0.115253
428.977, -0.115253
428.978, -0.115253
428.979, -0.115253
428.98, -0.115253
428.981, -0.115253
428.982, -0.115253
428.983, -0.115253
428.984, -0.115253
428.985, -0.115253
428.986, -0.115253
428.987, -0.115253
428.988, -0.115253
428.989, -0.115253
428.99, -0.115253
428.991, -0.115253
428.992, -0.115253
428.993, -0.115253
428.994, -0.115253
428.995, -0.115253
428.996, -0.115253
428.997, -0.115253
428.998, -0.115253
428.999, -0.115253
429, -0.115253
429.001, -0.115253
429.002, -0.115253
429.003, -0.115253
429.004, -0.115253
429.005, -0.115253
429.006, -0.115253
429.007, -0.115253
429.008, -0.115253
429.009, 0.0159002
429.01, 0.0127201
429.011, 0.0101761
429.012, 0.00814088
429.013, 0.00651271
429.014, 0.00521016
429.015, 0.00416813
429.016, 0.00333451
429.017, 0.0026676
429.018, 0.00213408
429.019, 0.00170727
429.02, 0.00136581
429.021, 0.00109265
429.022, 0.000874121
429.023, 0.000699296
429.024, 0.000559437
429.025, 0.00044755
429.026, 0.00035804
429.027, 0.000286432
429.028, 0.000229145
429.029, 0.000183316
429.03, 0.000146653
429.031, 0.000117322
429.032, 9.3858e-05
429.033, 7.50864e-05
429.034, 6.00691e-05
429.035, 4.80553e-05
429.036, 3.84442e-05
429.037, 3.07554e-05
429.038, 2.46043e-05
429.039, 1.96834e-05
429.04, 1.57468e-05
429.041, 1.25974e-05
429.042, 1.00779e-05
429.043, 8.06234e-06
429.044, 6.44987e-06
429.045, 5.1599e-06
429.046, 4.12792e-06
429.047, 3.30233e-06
429.048, 2.64187e-06
429.049, 2.11349e-06
429.05, 1.6908e-06
429.051, 1.35264e-06
429.052, 1.08211e-06
429.053, 8.65687e-07
429.054, 6.9255e-07
429.055, 5.5404e-07
429.056, 4.43232e-07
429.057, 3.54586e-07
429.058, 2.83668e-07
