# Simulation 1 (Up to date)
# 279 data points written for 19 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Thrust (N),Drag force (N)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
1.199,27.433,40.084,23.615,40.304,24.051,1.679,7.06e-6,1.679,2.41e-4,4.207,4.561,0.27,-1.103e-8,0.022,1.247e-5,104.016,4.353,0.846
1.232,28.763,40.837,22.68,41.07,23.262,1.819,7.198e-6,1.819,2.267e-4,4.366,5.17,0.008,3.425e-8,0.028,3.533e-4,103.844,4.293,0.878
1.281,30.802,41.863,20.576,42.119,21.391,2.041,7.844e-6,2.041,2.202e-4,4.637,5.849,0.328,-2.987e-8,-0.015,9.784e-6,103.592,4.127,0.924
1.302,31.686,42.312,21.276,42.58,22.183,2.14,8.416e-6,2.14,2.253e-4,4.768,6.278,0.421,-3.624e-8,-0.003,1.969e-5,103.485,4.223,0.944
1.32,32.467,42.709,21.558,42.987,22.395,2.229,9.156e-6,2.229,2.354e-4,4.882,6.064,0.313,-1.901e-8,0.007,2.05e-5,103.388,4.263,0.962
1.345,33.514,43.236,21.577,43.527,22.266,2.349,1.056e-5,2.349,2.576e-4,5.023,5.493,0.106,-2.812e-8,0.015,1.236e-5,103.26,4.275,0.986
1.381,35.11,44.028,21.587,44.335,22.075,2.536,1.365e-5,2.536,3.083e-4,5.206,4.613,0.191,-5.173e-8,-0.011,4.199e-5,103.067,4.293,1.024
1.415,36.582,44.748,21.569,45.067,21.971,2.712,1.694e-5,2.712,3.58e-4,5.349,4.185,0.326,1.591e-8,0.004,4.323e-5,102.892,4.313,1.058
1.435,37.484,45.182,21.54,45.508,21.951,2.82,1.884e-5,2.82,3.829e-4,5.433,4.228,0.314,-5.982e-8,0.015,7.271e-6,102.786,4.328,1.079
1.456,38.451,45.64,21.412,45.974,21.904,2.936,2.054e-5,2.936,4.008e-4,5.526,4.615,0.197,-2.672e-8,0.025,2.857e-5,102.674,4.34,1.101
1.488,39.918,46.321,21.128,46.67,21.843,3.115,2.251e-5,3.115,4.141e-4,5.69,5.542,0.079,-2.516e-8,-0.027,6.775e-5,102.504,4.355,1.135
1.536,42.16,47.327,20.781,47.704,21.702,3.395,2.517e-5,3.395,4.249e-4,5.985,6.254,0.276,-1.233e-7,-0.005,7.46e-5,102.245,4.375,1.185
1.553,42.985,47.689,20.761,48.077,21.728,3.499,2.645e-5,3.499,4.331e-4,6.098,6.411,0.31,-4.763e-8,0.005,8.933e-6,102.152,4.392,1.204
